Categories;Categories 1;Categories 2;Categories 3;Continents;Country;En el TOP;Rank Tops;Table Names;Username;Comments;Engagement;Likes;Nº Total Channels;Rank;Suscribers;Total Suscribers;Visits
Música y baile;Música y baile;;;Ásia;India;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;tseries;120;0,001309665;3200;1;1;253500000;253500000;111300
Videojuegos;Videojuegos;Humor;;América del Norte;Estados Unidos;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MrBeast;16600;2,578105664;5400000;1;2;210100000;210100000;95400000
Educación;Educación;;;;;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;CoComelon;0;0,012849494;21600;1;3;168100000;168100000;4099999
;;;;Ásia;India;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SETIndia;9;0,000149940;239;1;4;165400000;165400000;23300
Animación;Animación;Juguetes;;;;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KidsDianaShow;0;0,007553648;8800;1;5;116500000;116500000;4099999
Películas;Películas;Videojuegos;;América del Norte;Estados Unidos;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;PewDiePie;8100;0,170646320;182000;1;6;111400000;111400000;2900000
Juguetes;Juguetes;;;;;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LikeNastyaofficial;0;0,013134058;14500;1;7;110400000;110400000;4099999
Animación;Animación;Juguetes;;;;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;VladandNiki;0;0,016398104;17300;1;8;105500000;105500000;5500000
Música y baile;Música y baile;;;Ásia;India;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;zeemusiccompany;34;0,001787524;1800;1;9;102600000;102600000;46700
Videojuegos;Videojuegos;;;América del Norte;Estados Unidos;True;Top 10;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;WWE;189;0,004881753;4600;1;10;98100000;98100000;148200
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BLACKPINK;6300;0,205856833;183500;1;11;92200000;92200000;1500000
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;GoldminesTelefilms;12;0,000296417;261;1;12;92100000;92100000;23400
Películas;Películas;Animación;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SonySAB;15;0,000661697;562;1;13;87200000;87200000;33300
Películas;Películas;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;5MinuteCraftsYouTube;25;0,000744099;574;1;14;80500000;80500000;101100
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BTS;3400;0,220779221;166600;1;15;77000000;77000000;916400
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;zeetv;0;0,000179384;134;1;16;74700000;74700000;2900
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;HYBELABELS;716;0,065280654;47200;1;17;73400000;73400000;341100
Animación;Animación;Juguetes;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;Pinkfong;0;0,000510549;363;1;18;71100000;71100000;337700
Juguetes;Juguetes;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ChuChuTV;0;0,015988372;11000;1;19;68800000;68800000;475200
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;colorstv;2;0,000302766;206;1;20;68700000;68700000;13700
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;filmigaane;15;0,000538117;345;1;21;66900000;66900000;26700
Música y baile;Música y baile;;;América del Sur;Brasil;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;KondZilla;4;0,001025487;680;1;22;66700000;66700000;15200
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TSeriesBhaktiSagar;26;0,001151703;718;1;23;64599999;64599999;19200
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;tipsofficial;21;0,001401284;852;1;24;62300000;62300000;58700
Música y baile;Música y baile;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ElReinoInfantil;0;0,004255319;2600;1;25;61100000;61100000;409600
Películas;Películas;Animación;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;MOVIECLIPS;7;0,000249169;143;1;26;60200000;60200000;9400
Noticias y Política;Noticias y Política;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;aajtak;5;0,000358333;210;1;27;60000000;60000000;9700
Videojuegos;Videojuegos;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;dudeperfect;2300;0,205666667;121100;1;28;60000000;60000000;2700000
Música y baile;Música y baile;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;WaveMusicIndia;33;0,002232831;1300;1;29;59700000;59700000;35400
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;SonyMusicIndia;22;0,001508532;862;1;30;58600000;58600000;19800
Películas;Películas;Animación;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;eminem;9300;0,265172414;144500;1;31;58000000;58000000;2000000
Educación;Educación;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;infobellshindirhymes;0;0,005574913;3200;1;32;57400000;57400000;1500000
Música y baile;Música y baile;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;yrf;137;0,033631119;19100;1;33;57200000;57200000;182400
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;marshmello;120;0,009190141;5100;1;34;56800000;56800000;137000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;LooLooKids;0;0,008468468;4700;1;35;55500000;55500000;1100000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;TaylorSwift;4600;0,278198198;149800;1;36;55500000;55500000;951800
Juguetes;Juguetes;;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BillionSurpriseToys;0;0;0;1;37;54300000;54300000;642700
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;EdSheeran;251;0,015835185;8300;1;38;54000000;54000000;167100
;;;;Ásia;India;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;shemaroo;7;0,000235529;111;1;39;50100000;50100000;14200
Películas;Películas;Animación;;América del Norte;México;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;JuegaGerman;3000;0,235378323;112100;1;40;48900000;48900000;1900000
Música y baile;Música y baile;;;América del Norte;Estados Unidos;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;BillieEilish;1200;0,086912065;41300;1;41;48900000;48900000;528800
Animación;Animación;Humor;;Europa;Rusia;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;A4a4a4a4;20000;0,603483607;274500;1;42;48800000;48800000;9400000
;;;;Ásia;Pakistán;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;ARYDigitalasia;5;0,002264344;1100;1;43;48800000;48800000;32000
Películas;Películas;Humor;;;;True;Top 11-100;youtubers_df.csv,Paises-Continentes.xlsx/Paises-Continentes;getmovies;0;0,000905738;442;1;44;48800000;48800000;139700
